product_id,MAE,RMSE,MAPE,MDAE,MDAPE,avg_price,successful_windows,failed_windows
99767924,8204.606278859406,8705.449386404143,6.624869433844042,8204.606278859406,6.624869433844043,119843.093922651934,172,0
99690262,141.34676899138643,155.47982796649393,0.4968603182277121,141.34676899138643,0.4968603182277121,27527.976190476190,159,0
99520792,960.8560495952154,1031.6073675478485,2.200919488371387,960.8560495952154,2.2009194883713867,43009.826589595376,164,0
99795015,233.50103602723829,250.47579119990152,0.6211521884732311,233.50103602723829,0.6211521884732311,35710.857142857143,166,0
99920443,390.53134262484065,428.1241870202048,0.9271022567743894,390.53134262484065,0.9271022567743894,43897.202797202797,134,0
99744346,31215.76817752866,33549.69547094635,3.754930476630969,31215.76817752866,3.754930476630968,815358.620689655172,165,0
99895147,586.8938207901525,631.062506701438,2.488578828011249,586.8938207901525,2.488578828011249,22523.648648648649,139,0
99713307,3297.2095733777514,3555.0657333067197,1.9052819413838633,3297.2095733777514,1.9052819413838633,168735.135135135135,65,0
99598548,17019.224112978307,18317.90398246698,1.8295876156944575,17019.224112978307,1.8295876156944575,939479.041916167665,158,0
99780877,266.2545761239292,289.45448787711206,0.9112059490790455,266.2545761239292,0.9112059490790455,29232.203389830508,168,0
99679718,536.505046741294,625.7133450321294,0.39240817549094226,536.505046741294,0.39240817549094226,134777.777777777778,18,0
99883462,281.88732920032106,308.1279286227773,1.855100599974093,281.88732920032106,1.855100599974093,14872.774869109948,182,0
99920477,444.77277084963083,489.86788695341494,0.9627783673354486,444.77277084963083,0.9627783673354487,47950.769230769231,56,0
99518291,689.2400153231615,741.989629641696,2.198141135080447,689.2400153231615,2.198141135080447,32201.960784313725,144,0
99811684,675.6562525659493,736.9714177141152,0.7876184246663175,675.6562525659493,0.7876184246663174,82647.826086956522,175,0
99890000,1507.829816545375,1660.8801357126167,0.938783411317437,1507.829816545375,0.938783411317437,159166.242038216561,148,0
99704619,2904.8692049266774,3291.7873705564302,3.663619484573427,2904.8692049266774,3.663619484573427,81265.294117647059,161,0
99697412,2788.2995591453437,3094.3076275225217,4.2141698289592116,2788.2995591453437,4.2141698289592116,62876.047904191617,158,0
99820677,326.66308564323657,361.284311642831,1.8983206999683568,326.66308564323657,1.8983206999683568,16744.270833333333,183,0
99688341,205.51996986675383,223.0580942065747,0.7016018905203545,205.51996986675383,0.7016018905203544,29240.957446808511,179,0
99679314,7536.563052554466,8178.830789889923,4.094598734275003,7536.563052554466,4.094598734275003,151436.416184971098,164,0
99642256,504.08734233007146,545.0211299219968,2.2909914689345987,504.08734233007146,2.2909914689345987,28378.378378378378,176,0
99704625,2766.505794732966,3032.3187211594145,3.877001947705019,2766.505794732966,3.877001947705019,73104.477611940299,192,0
99815638,1033.7900251307556,1125.205710045749,3.140528748013321,1033.7900251307556,3.140528748013321,30937.058823529412,161,0
99811588,751.0534136912916,829.1959699009076,0.9081441305317963,751.0534136912916,0.9081441305317963,82321.739130434783,175,0
99920478,297.23595259346183,325.63375880547136,0.7080980437409897,297.23595259346183,0.7080980437409897,43506.989247311828,177,0
99530828,5662.771118725288,6157.024701374323,3.674499301220779,5662.771118725288,3.674499301220779,156125.748502994012,158,0
99660475,6570.356237082867,7042.902806772886,3.569429800379926,6570.356237082867,3.569429800379926,151974.418604651163,163,0
99660396,7095.2767109189745,7709.53197737956,3.8648688881652937,7095.2767109189745,3.8648688881652937,151484.408602150538,177,0
99587689,3250.3875013807724,3464.101031359024,2.608810151597885,3250.3875013807724,2.608810151597885,120611.764705882353,144,0
99872706,1812.6925970284294,1970.8145222336927,0.840561177983268,1812.6925970284294,0.840561177983268,211821.686746987952,157,0
99860342,1216.5271110595495,1336.8174707076926,0.7372045233621799,1216.5271110595495,0.7372045233621799,161050.292397660819,162,0
99647615,2282.6741010559167,2468.9605166159654,1.457337082070033,2282.6741010559167,1.457337082070033,144374.269005847953,162,0
99825631,896.6165451516829,972.0407526741941,1.8724687771924162,896.6165451516829,1.8724687771924162,48117.391304347826,152,0
99774179,141.85846159983282,154.7893937809154,0.4934018122177723,141.85846159983282,0.4934018122177723,28684.491978609626,178,0
99807111,4651.526769802145,5320.296825579269,2.6251051056244186,4651.526769802145,2.6251051056244186,150216.265060240964,157,0
99697737,60.344964120864205,64.366649026604,0.26236940922114876,60.344964120864205,0.26236940922114876,22014.285714285714,173,0
99630419,2665.0608544516913,2832.645566977749,2.641332367132247,2665.0608544516913,2.641332367132247,100133.333333333333,144,0
99721491,7708.559753271597,8296.287472365591,3.565893400235144,7708.559753271597,3.565893400235144,214520.809248554913,164,0
99778795,151.02856966861756,164.95086386289296,0.539674054289314,151.02856966861756,0.5396740542893141,28047.093023255814,163,0
99648272,2282.5006546209315,2469.733093938876,1.4863015819444054,2282.5006546209315,1.4863015819444054,150918.032786885246,174,0
99844113,364.95220928892104,393.26121969262545,0.9218165905373674,364.95220928892104,0.9218165905373674,41572.500000000000,111,0
99949562,111.52093168211441,120.52578636558775,0.5008061655432434,111.52093168211441,0.5008061655432434,21371.069182389937,150,0
99525909,6731.98292990292,7251.703424470419,4.413429430014566,6731.98292990292,4.413429430014566,155861.403508771930,162,0
99646960,2137.600421144147,2344.120833800435,0.5425250103190369,2137.600421144147,0.5425250103190369,399095.073891625616,194,0
99697369,3356.4985006754705,3575.0569187075876,4.010242284261772,3356.4985006754705,4.010242284261773,80333.516483516484,173,0
99666520,1368.7459443385014,1448.407399065417,2.7960951323262586,1368.7459443385014,2.796095132326259,48345.945945945946,65,0
99659718,6348.0021093728255,6701.6636627068965,3.4307006453299556,6348.0021093728255,3.4307006453299556,151204.545454545455,167,0
99602393,4243.4330307398,4641.7293976061355,2.3745722982831423,4243.4330307398,2.3745722982831423,180407.317073170732,73,0
99814109,8959.573843354885,9605.470071504045,3.7540464491156595,8959.573843354885,3.7540464491156595,222265.000000000000,151,0
99704651,2636.9806156792524,2828.1878218782444,3.4913201053521155,2636.9806156792524,3.4913201053521155,72777.528089887640,169,0
99979158,2581.1042770339814,2751.9127185158172,3.255743276518959,2581.1042770339814,3.255743276518959,72515.151515151515,156,0
99553277,77.68559025376916,86.91702497276093,0.15531032213857124,77.68559025376916,0.15531032213857124,50215.306122448980,187,0
99747375,775.1110277824573,839.250197705803,2.402361557882936,775.1110277824573,2.402361557882936,31818.343195266272,160,0
99807165,8406.638058894092,9074.962783274948,4.892452146253242,8406.638058894092,4.892452146253242,140396.315789473684,181,0
99647924,3329.3860678882625,3614.3995319532955,2.200626997567074,3329.3860678882625,2.200626997567074,150228.169014084507,133,0
99678956,6955.506766540714,7361.343823660408,3.8152799418151147,6955.506766540714,3.815279941815114,152163.095238095238,159,0
99666682,1494.727394166961,1588.4145878910176,5.4939738352338665,1494.727394166961,5.493973835233866,26563.157894736842,29,0
99647211,2330.4317123258083,2512.1632730431943,1.8412096418125337,2330.4317123258083,1.8412096418125337,123266.492146596859,182,0
99525955,6231.7673714383545,6671.729411977031,4.03333619225127,6231.7673714383545,4.03333619225127,155923.863636363636,167,0
99630800,250.1375498417724,269.12580894263886,1.2261775152680492,250.1375498417724,1.2261775152680492,19500.591715976331,160,0
99511510,1053.7166549308915,1121.176215037442,2.539943321005829,1053.7166549308915,2.539943321005829,37860.000000000000,161,0
99660078,5673.663065910732,5989.069580733728,3.060770193709549,5673.663065910732,3.060770193709549,150441.752577319588,185,0
99916449,685.576069613793,753.8054952326099,0.6152528646504472,685.576069613793,0.6152528646504472,109922.905027932961,170,0
99780308,187.1002538008668,201.94916533822376,0.6563994405362029,187.1002538008668,0.6563994405362029,28277.272727272727,145,0
99502780,617.269583554484,677.8245912569084,0.7174367078241111,617.269583554484,0.7174367078241111,85624.000000000000,191,0
99722046,2205.056853802512,2421.052859378634,1.4858711182481266,2205.056853802512,1.4858711182481266,152526.775956284153,174,0
99660503,4321.979846443958,4942.884577778778,2.4445280384129933,4321.979846443958,2.4445280384129933,149501.675977653631,170,0
99897903,1103.4978169540602,1180.6681927109237,2.1789107403733126,1103.4978169540602,2.178910740373313,51847.826086956522,175,0
99767899,3096.0969726166345,3318.8410781618486,5.525617124403764,3096.0969726166345,5.525617124403764,55246.835443037975,149,0
99744194,33918.67049723278,36363.56309518971,3.413040887959698,33918.67049723278,3.413040887959698,978923.684210526316,181,0
99646525,2673.163397691626,2871.6739742393697,2.5749517150677708,2673.163397691626,2.5749517150677703,104217.834394904459,148,0
99785206,335.5555532948022,364.5439234167496,1.158534569859063,335.5555532948022,1.158534569859063,28937.356321839080,165,0
99885169,1749.0052810001741,1904.1797704603443,2.848068382433866,1749.0052810001741,2.848068382433866,59410.731707317073,196,0
99860064,1084.200381249234,1190.399188612626,0.6564998921481253,1084.200381249234,0.6564998921481253,161176.506024096386,157,0
99703889,2562.6193264195063,2753.720405437277,2.492114539476056,2562.6193264195063,2.492114539476056,102821.468926553672,168,0
99839283,4129.5422060251985,4488.968652190959,5.846497117891147,4129.5422060251985,5.846497117891147,72423.076923076923,160,0
99659955,7028.415954184196,7487.973983177248,3.8717751245775376,7028.415954184196,3.8717751245775376,151509.604519774011,168,0
99744225,25253.14770697009,27243.568744942888,3.0063672507249444,25253.14770697009,3.0063672507249444,799342.372881355932,168,0
99849753,1010.9269340661951,1099.5095966688762,2.7591259408203954,1010.9269340661951,2.7591259408203954,35875.159235668790,148,0
99504212,433.5560426473461,474.33851323119967,0.8510680202517175,433.5560426473461,0.8510680202517175,51910.614525139665,170,0
99791468,295.0627058243305,315.97523007152256,1.0766642259852666,295.0627058243305,1.0766642259852666,26376.363636363636,156,0
99742724,334.71287726301495,363.60785984126534,1.1557896438504494,334.71287726301495,1.1557896438504494,27423.030303030303,156,0
99656980,33274.36899934561,35365.32393272724,2.119287937957142,33274.36899934561,2.119287937957142,1579572.677595628415,174,0
99825841,942.8366429836943,1031.2480499598569,0.30693213030558236,942.8366429836943,0.30693213030558236,306352.046783625731,162,0
99657132,25674.020875955375,27657.263910265985,1.4682632371922093,25674.020875955375,1.4682632371922095,1691663.583815028902,164,0
99985963,490.835048215512,526.6476922863276,1.3141298467000633,490.835048215512,1.3141298467000633,36272.254335260116,164,0
99937317,1233.9384753141803,1319.3005324360583,3.518532839132956,1233.9384753141803,3.518532839132956,34883.040935672515,162,0
99766347,2587.705220939575,2766.1385576336183,2.5169287785602017,2587.705220939575,2.5169287785602017,102249.197860962567,178,0
99660199,2235.5134979530867,2416.920644348083,1.452758688299211,2235.5134979530867,1.452758688299211,149853.513513513514,176,0
99636200,261.05307983832455,283.6894647680338,0.789860667114725,261.05307983832455,0.789860667114725,32100.645161290323,146,0
99802887,292.87038249426445,320.14670476039726,1.0106595187614145,292.87038249426445,1.0106595187614145,29127.710843373494,157,0
99801098,2161.3821515274153,2349.8793479829087,2.049904599506809,2161.3821515274153,2.049904599506809,103002.890173410405,164,0
99721675,5111.171389355111,5635.0914081900055,2.682393263855562,5111.171389355111,2.682393263855562,188588.397790055249,172,0
99531742,29619.072830602505,31567.72642338359,5.356219319630503,29619.072830602505,5.356219319630503,566775.824175824176,173,0
99960177,3669.1293132480546,3971.219350937295,1.8315024153250523,3669.1293132480546,1.8315024153250523,211524.305555555556,135,0
99813212,6813.04517005538,7187.786987954303,3.6765713461738065,6813.04517005538,3.6765713461738065,151526.666666666667,156,0
99778566,135.35308635368511,146.21165616339488,0.47607442638960906,135.35308635368511,0.4760744263896089,28396.407185628743,158,0
99843909,2057.55940791302,2239.029827194491,4.193408162389533,2057.55940791302,4.193408162389533,43125.694444444444,135,0
99673563,39855.56893057856,43049.05262523857,4.303447411618824,39855.56893057856,4.303447411618824,910635.714285714286,173,0
